level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
1746,1793,La Gastronomica Burgers,"Os hambúrgueres  estavam excelentes e o atendimento fenomenal. Eu, particularmente, nem sou fã de hambúrgueres (vou a hamburguerias porque o meu marido adora!); mas tenho que reconhecer que esses hambúrgueres são deliciosos!",Portuguese,"The hamburgers were excellent and the phenomenal service.I, in particular, I'm not even a fan of hamburgers (I'm going to burgers because my husband loves!);But I have to recognize that these hamburgers are delicious!",0.7919,50,October 2022,['Street Food'],5.0
1747,1794,La Gastronomica Burgers,"Comida excelente, ambiente agradável e galera simpática! Boas opções de cerveja. Recomendo, vale conhecer!",Portuguese,"Excellent food, pleasant atmosphere and friendly guys!Good beer options.I recommend it, it's worth knowing!",0.9347,50,September 2022,['Street Food'],5.0
1748,1795,La Gastronomica Burgers,"Atendimento bem detalhado sobre os lanches e como funciona a casa. Comida muito boa e saborosa. O lugar tem poucos lugares, dependendo do horário pode ter filas, mas vale a pena.",Portuguese,"Very detailed service on snacks and how the house works.Very good and tasty food.The place has few places, depending on the time may have queues, but it is worth it.",0.5106,50,September 2022,['Street Food'],5.0
1749,1796,La Gastronomica Burgers,"Chegamos em um grupo de amigos e o restaurante tinha acabado de fechar. Foram gentis o suficiente para nos deixar usar o banheiro e nesse meio tempo disseram que iam nos atender.
Comemos hamburgeres deliciosos, frescos e muito saborosos. As batatas fritas estavam incríveis, e...os molhos são de viver. TEM QUE PROVAR.

Joel foi muito simpático conosco, conversamos todos um pouco sobre o Brasil e tivemos um jantar fantástico graças a todo o time.

Muito obrigada!!Mais",Portuguese,"We arrived in a group of friends and the restaurant had just closed.They were kind enough to let us use the bathroom and in the meantime they said they were going to serve us.
We eat delicious, fresh and very tasty burgers.The chips were amazing, and ... the sauces are living.You have to prove it.

Joel was very nice to us, we all talked a little about Brazil and had a fantastic dinner thanks to the whole team.

Thank you very much !! More",0.9817,50,July 2022,['Street Food'],5.0
1750,1797,La Gastronomica Burgers,"Comemos o hambúrguer com provolone e o de queijo azul estavam excelentes! Cerveja gelada e ótimo ambiente.
O pétit gateau estava muito bom!",Portuguese,"We ate the hamburger with provolone and the blue cheese were excellent!Cold beer and great atmosphere.
Pétit Gateau was very good!",0.835,50,July 2022,['Street Food'],5.0
1751,1798,La Gastronomica Burgers,Excelentes hambúrgueres! Espaço interior pequeno mas com esplanada no exterior. Atendimento excelente por parte do Joel e restante equipa.,Portuguese,Excellent hamburgers!Small inner space but with terrace abroad.Excellent service from Joel and the remaining team.,0.3903,50,,['Street Food'],5.0
1752,1799,La Gastronomica Burgers,Comer muito bom e atendimento excelente! Joel é um colaborador de excelência. Vários tipos de hambúrgueres com qualidade.,Portuguese,Eating very good and excellent service!Joel is a collaborator of excellence.Various types of quality hamburgers.,0.8151,50,April 2022,['Street Food'],5.0
1753,1800,La Gastronomica Burgers,"Melhor hambúrguer que já comi até hoje e com um ambiente super agradável, ótimo para ir com amigos. Atendimento sempre impecável! ✨",Portuguese,"Best hamburger I've ever eaten today and with a super nice atmosphere, great for going with friends.Always impeccable service!✨",0.9459,50,,['Street Food'],5.0
1754,1801,La Gastronomica Burgers,"Quando cheguei tinha um pouco de espera, mas valeu cada segundo esperado. Para nós (eu e meu marido) esse foi o melhor restaurante que fomos em Barcelona. Espaço pequeno, mas aconchegante. O staff era incrível e mega atencioso, nos auxiliou em tudo. Degustamos ao total...Mais",Portuguese,"When I arrived I had a little wait, but it was worth every second expected.For us (my husband and I) this was the best restaurant we went to in Barcelona.Small, but cozy space.The staff was amazing and mega attentive, helped us in everything.We tasted to total ... More",0.9366,50,November 2019,['Street Food'],5.0
1755,1802,La Gastronomica Burgers,"Local aconchegante, boa cerveja e boas comida! Fomos porções não são muito grandes, permitindo degustar mais de um prato. Fomos muito bem atendidos pelo garçom Brayan.",Portuguese,"Cozy place, good beer and good food!We were portions are not very large, allowing you to taste more than one plate.We were very well attended by waiter Brayan.",0.8169,50,October 2019,['Street Food'],5.0
