review,rating,date,language,restaurant
"Esperienza davvero eccellente - pasti deliziosi, atmosfera accogliente, servizio impeccabile e qualità/prezzo top! Menu vario, ingredienti freschissimi e una selezione di bevande da leccarsi i baffi... Lo staff sempre gentile e amichevole è la cigliegina sulla torta. Praticamente impossibile andarci una volta e non tornare...più..!Più",50,giugno 2022,IT,Faire Brunch & Drinks
"Questo delizioso localino è un'ottima idea per colazione e soprattutto per il brunch. Il locale è arredato molto bene e ti dà la sensazione di essere a casa. Oltre ai tavolini sulla strada consiglio di andare nella veranda sul retro. Fa parte di una catena...di localini tutti con lo stesso mood e stile: BCN coffe guide
Ottimo rapporto qualità prezzo. Porzioni abbondanti ma la qualità è davvero ottima! Consigliatissimi i pancakes e il caffè filtrato ;)
Inoltre i ragazzi che lo gestiscono sono molto solari e cordiali :)Più",50,luglio 2021,IT,Faire Brunch & Drinks
"L’ho trovato questo locale ancora prima di venire a Barcellona, leggendo le recensioni ho deciso di provare e vi confermo che sono veramente , veramente buoni! Bravissimi i ragazzi che gestiscono il locale  e ti accolgono con gentilezza .  Consiglio vivamente!Più",50,febbraio 2023,IT,"Tino, esto no es una pizzería"
"L’idea è assolutamente geniale, la realizzazione pure, i prezzi però un po’ cari: considerando che 4 “tini” equivalgono circa a una pizza (a detta del personale), venderne un box da 8 a 22,90€ è parecchio.
Per quanto riguarda i gusti è completamente soggettivo, ho particolarmente...apprezzato quello col tartufo e quello più “semplice” con prosciutto, pomodoro e funghi. Da italiani potrebbero non piacervi quelli più distanti dai gusti tipici di una pizza. 
In ogni caso, è un cibo take away che consiglio di provare a Barcellona!Più",40,agosto 2022,IT,"Tino, esto no es una pizzería"
"Ho deciso di provarlo incuriosita dalla pubblicitá fatta, e sopratutto amante della pizza e devo dire che sono rimasta soddisfatta. La massa ricorda i bocconcini di pane pizza peró non e cosi impegnativa come la pizza, decisamente piu leggera e meno secca. Gli ingredienti buoni,...delicati e si sposavano bene con l´impasto. Da provare MEXIGAN che a me é piaciuto moltissimo, sapori freschi e delicati. Ottima idea anche per un  aperitivo. DA RIPETERE.Più",50,luglio 2022,IT,"Tino, esto no es una pizzería"
"Grazie a Benoit persona molto gentile e disponibile
Non sono pizze ma hanno un sapore unico e nulla da invadere alle pizze 
Grazie ancora per avermi fatto provare i vostri ottimi prodotti 
Lo farò ancora e lo consiglio a tutti",50,aprile 2022,IT,"Tino, esto no es una pizzería"
"Abbiamo scoperto Tino per puro caso, io e la mia fidanzata, e l'abbiamo assaggiato dopo aver constatato che l'aspetto era davvero invitante.. 
Non c'è Migliore scoperta di questa dopo tanto tempo di vita a Barcelona.. 
Credo si sia aggiudicato Il primo posto nella street food.... 
Lo consiglio a tutti, soprattutto se italiani. 
Perchè Tino non è una pizza ma praticamente un bombolone di vero impasto di pizza tradizionale (diffícile da incontrare all'estero) ripieno a bomba di ingredienti di súper Qualita provenienti per lo piu dalla cucina italiana. 
Che aspettate?Più",50,marzo 2022,IT,"Tino, esto no es una pizzería"
"Provatelo, non rimarrete delusi. 
Puoi scegliere tra tino vegani e con carne.
Packaging semplice e senza plastica. 
Sono buonissimi",50,marzo 2022,IT,"Tino, esto no es una pizzería"
"I ristoranti della zona in cui alloggiavo a Barcellona chiudevano alle 22.
Fortunatamente ho trovato Tino che con una veloce consegna con just eat mi ha fatto provare, anche se tardi, i suoi fantastici tino’s.
Ottimi, un mix di gusti e una consistenza fantastica.",40,dicembre 2021,IT,"Tino, esto no es una pizzería"
"Ho scoperto Tino da poco e ormai è diventato lo snack perfetto per le serate in casa con amici o per le riunioni di lavoro! C'è un'ottima varietà di sapori, è facile da mangiare e la cosa più importante... son buonissimi! 
Puoi ordinare il pack...da 4, da 8 o da 12, arrivano a casa che son ancora caldissimi (cosa che non succede mai quando chiedi una pizza...) 
E' il prodotto perfetto per il delivery!Più",50,ottobre 2021,IT,"Tino, esto no es una pizzería"
"Ho ordinato 4 tinos attraverso UberEats, sono arrivati in condizioni perfette: confezionati con cura, ancora caldi e soprattutto deliziosi.",50,giugno 2021,IT,"Tino, esto no es una pizzería"
Locale molto accogliente. Staff gentilissimo e molto attento. Piatti particolari e buonissimi. Succhi fantastici. Caffè peruviano molto buono. Prezzi assolutamente appropriati. Veramente una colazione fantastica - grazie!,50,dicembre 2022,IT,Lato Café - Breakfast Brunch y Ceviches
"bella scelta di proposte, per brunch  e pausa pranzo , prendo qualcosa da stuzzicare e un ceviche de gambas ( in versione Equadorena, forse il piu' bel ceviche mangiato a Barcelona ) bevo birra e un bel caffe Peruano, molto bravi",40,novembre 2022,IT,Lato Café - Breakfast Brunch y Ceviches
"Di passaggio a Barcellona, in un’assolata, ma piacevole giornata d’agosto, abbiamo cercato un posto dove mangiare al volo ed abbiamo trovato questo bistrot che ci ha regalato delle cose buonissime e particolari, cucinate con cura e di ottima qualità. Del pane tostato con una crema...di avocado ed un uovo in camicia cotto al punto giusto con delle spezie sfiziose e cipolle caramellate e una Ceviche vegana con edamame, cipolle, pomodori, coriandolo, limone, arancia e una salsa di pomodoro che somigliava ad una specie di gazpacho, ma anche quella rielaborata a modo loro…insomma: tutte cose molto buone, gustose e soprattutto leggere, ideali per una giornata calda!Più",50,agosto 2022,IT,Lato Café - Breakfast Brunch y Ceviches
"Di ritorno dal Montjuic io e mia figlia abbiamo scelto questo piccolo ristorante di cucina ecuadoregna ed equatoriale. Molto carino, i piatti ottimi ( abbiamo preso il menù turistico), crema di patate e spinaci e scaloppine di pollo con riso e funghi. Per finire una...cheeseake al frutto della passione. Buon rapporto qualità prezzoPiù",50,febbraio 2022,IT,Lato Café - Breakfast Brunch y Ceviches
"Buonissimo il Chimborazo! Mi ha riportato in sudamerica. Personale super carino, tornerò sicuramente😍!",50,agosto 2021,IT,Lato Café - Breakfast Brunch y Ceviches
"Locale fantastico, pulito e soprattutto personale accogliente, sicuramente tornerò per gustare la loro cucina 🥰✌️",50,agosto 2021,IT,Lato Café - Breakfast Brunch y Ceviches
"ristorante deliziono, una buona varietà dipiatti molto curati. straordinaria la gentilezza e l'attenzione al dettaglio dei gestori. Assai raccomandato .",50,agosto 2021,IT,Lato Café - Breakfast Brunch y Ceviches
