level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
10404,10611,La Gastronomica Burgers,"Ikke dårlig mat tilberedt av sous-vide-metoden, men ribbeina hadde for mye fett. Delene er små (men servitør forklarte det foran).
Vår pris / kvalitet er 3 av 5.Mer",Norwegian,"Not bad food prepared by the sous-video method, but the ribs had too much fat.The parts are small (but the waiter explained it in front).
Our price / quality is 3 of 5.Mer",0.1511,30,,['Street Food'],5.0
10414,10621,Desoriente,"Dette er nok en veldig bra restaurant om du er veganer. Det som er grunnen til at det blir laveste karakter er at den står under sushi. Den har veldig gode anmeldelser på Tripadvisor, sikkert fordi det er fantastisk veganmat. Men, for de som er...glad i vanlig sushi er dette ikke bra. De går skuffet derfra. Det burde kommet bedre frem at all sushi er 100 % vegan. Bortsett fra det, har stedet hyggelige ansatte og et fint lokale.Mer",Norwegian,"This is probably a very good restaurant if you are vegan.The reason why it becomes the lowest character is that it is under sushi.It has very good reviews on Tripadvisor, probably because it is fantastic vegan food.But, for those who are ... happy in regular sushi this is not good.They go disappointed from there.It should be better that all sushi is 100 % vegan.Apart from that, the place has nice staff and a nice room.",0.9688,10,,"['Asian', 'Japanese Fusion']",5.0
10415,10622,BelleBuon,"Dro ditt på grunn av gode anmeldelser, i følge Tripadvisor skal restauranten være the best of det best. Vi ble dessverre skuffet av maten. Stor porsjon, men veldig kjedelig smak. Ville aldri dratt bort igjen, da maten strekker ikke til forventninger.",Norwegian,"Done yours because of good reviews, according to TripAdvisor, the restaurant should be the best of the best.Unfortunately, we were disappointed by the food.Large portion, but very dull taste.Would never pull away again, as the food does not extend to expectations.",-0.5051,30,July 2022,"['Italian', 'Neapolitan']",5.0
10418,10625,BelleBuon,"Helt grei mat, reiste ett stykke for å dra hit så ble litt skuffet. Trivelige ansatte mens maten var dessverre gjennomsnittlig.",Norwegian,"Quite decent food, traveled one piece to go here so was a little disappointed.Nice staff while the food was unfortunately average.",-0.34,30,,"['Italian', 'Neapolitan']",5.0
10446,10653,Le Romane,"Pizzaen var helt grei, men det er enkelt å lage en bedre pizza selv. Pizzaen ble også servert lunken. Det var også treg service. Egentlig ikke helt verdt pengene.Mer",Norwegian,"The pizza was perfectly fine, but it is easy to make a better pizza yourself.The pizza was also served lukewarm.There was also slow service.Not really worth the money.",0.9259,30,november 2019,"['Italian', 'Pizza']",5.0
10453,10660,Le Romane,"Hyggelige mennesker, interessant interiør, men for pengene er ikke så bra - maten var ok, men ikke noe spesielt, i deres prisklasse kan du få mer",Norwegian,"Nice people, interesting interiors, but for the money is not so good - the food was ok but nothing special, in their price range you can get more",-0.3356,30,December 2019,"['Italian', 'Pizza']",5.0
10508,10715,Blu Bar,Dette er en veldig travel restaurant i et nisjemarked og drar full nytte av sin klientell. Veldig treg og uoppmerksom serviceMer,Norwegian,This is a very busy restaurant in a niche market and benefits from its clientele.Very slow and inattentive services,0.3818,20,January 2020,"['Bar', 'Mediterranean']",5.0
10533,10740,Bella Italia,Vi ankom 7 stykker og det var tydeligvis uvanlig med så store bord for personalet. Men med smil og gode intensjoner kom vi på plass og fikk servert god mat. Gnocci bruscetta pizza og pasta var meget tilfredsstillende.,Norwegian,We arrived 7 pieces and it was obviously unusual with such large tables for the staff.But with smiles and good intentions we came into place and served good food.Gnocci Bruscetta pizza and pasta were very satisfactory.,0.8932,30,april 2016,"['Italian', 'Pizza']",5.0
10539,10746,Bella Italia,"Vi bestilte 2 x Penne Arabiattas, servitøren ga oss 2 Rigatoni pomodorros. Da vi utfordret henne da hun kom med oppvasken, døpte hun plutselig oppvasken til Penne Arabiattas. Jeg fysisk gikk tallerkenen tilbake til kjøkkenet for å forklare at dette ikke er det jeg bestilte....Den kom tilbake 5 minutter senere med litt chili innblandet i den samme pastaen som jeg returnerte. Personalet prøvde tydeligvis å lene seg på språkbarrieren, men navnene på italienske retter er de samme.
Vennepizzaen min ankom også den tiden det tok meg å skaffe meg 2 pastaretter og avslutte den siste. Denne restauranten reflekterer ikke vurderingen.Mer",Norwegian,"We ordered 2 x Penne Arabiattas, the waitress gave us 2 rigatoni pomodorros.When we challenged her when she came with the dishes, she suddenly baptized the dishes of Penne Arabiattas.I physically went back to the kitchen to explain that this is not what I ordered .... it came back 5 minutes later with a little chili involved in the same pasta I returned.The staff clearly tried to lean on the language barrier, but the names of Italian dishes are the same.
My friendship also arrived at the time it took me to get me 2 pasta dishes and end the last one.This restaurant does not reflect the assessment. More",0.6428,20,september 2019,"['Italian', 'Pizza']",5.0
10557,10764,"We love italy, Pasta & Pizza, Restaurante Barcelona","Vi lette etter et sted å spise, og vi stoppet der fordi vi var veldig slitne.
Vi forventet ikke noe da vi så prisene. Vi hadde pasta carbonara, og vi ble litt skuffet. Pastas var varmt, men ikke sausen! Også carbonara føltes som om den...kom ut av en boks.
Vinen var virkelig god.Mer",Norwegian,"We were looking for a place to eat, and we stopped there because we were very tired.
We didn't expect anything when we saw the prices.We had pasta carbonara and we were a little disappointed.Pastas were hot, but not the sauce!Also carbonara felt like it ... came out of a box.
The wine was really good. More",0.7419,30,,"['Italian', 'Pizza']",5.0
